journal,journal_normalized,journal_alias_normalized,issn,ajg_rating,ajg_field,ajg_source_year,ft50,ft50_issn,ft50_title,abdc_rating,abdc_field,jcr_quartile,sjr_quartile,cssci,chinese_core,school_tier,custom_rating,ranking_tags,ranking_source,match_note
Journal of Finance,journal of finance,journal of finance,0022-1082,4*,Finance,2024,Yes,0022-1082,Journal of Finance,A*,Finance,Q1,Q1,,,Tier A,Core,elite finance; asset pricing,Demo multi-ranking template,Demo only; not official ranking redistribution.
Journal of Financial Economics,journal of financial economics,journal of financial economics,0304-405X,4*,Finance,2024,Yes,0304-405X,Journal of Financial Economics,A*,Finance,Q1,Q1,,,Tier A,Core,elite finance; corporate finance,Demo multi-ranking template,Demo only; not official ranking redistribution.
Review of Financial Studies,review of financial studies,review of financial studies,0893-9454,4*,Finance,2024,Yes,0893-9454,Review of Financial Studies,A*,Finance,Q1,Q1,,,Tier A,Core,elite finance; empirical asset pricing,Demo multi-ranking template,Demo only; not official ranking redistribution.
Management Science,management science,management science,0025-1909,4,Operations and Technology Management,2024,Yes,0025-1909,Management Science,A*,Business and Management,Q1,Q1,,,Tier A,Core,operations; analytics; management,Demo multi-ranking template,Demo only; not official ranking redistribution.
Journal of Banking & Finance,journal of banking and finance,journal of banking and finance,0378-4266,3,Finance,2024,,,,A,Finance,Q1,Q1,,,Tier B,Strong,banking; financial institutions,Demo multi-ranking template,Demo only; not official ranking redistribution.
Journal of Futures Markets,journal of futures markets,journal of futures markets,0270-7314,3,Finance,2024,,,,A,Finance,Q2,Q1,,,Tier B,Strong,derivatives; futures; hedging,Demo multi-ranking template,Demo only; not official ranking redistribution.
Quantitative Finance,quantitative finance,quantitative finance,1469-7688,3,Finance,2024,,,,A,Finance,Q2,Q1,,,Tier B,Strong,quant finance; derivatives; risk,Demo multi-ranking template,Demo only; not official ranking redistribution.
Finance Research Letters,finance research letters,finance research letters,1544-6123,2,Finance,2024,,,,B,Finance,Q2,Q2,,,Tier C,Useful,short papers; finance,Demo multi-ranking template,Demo only; not official ranking redistribution.
China Economic Review,china economic review,china economic review,1043-951X,3,Economics,2024,,,,A,Economics,Q1,Q1,,,Tier B,China-focused,China; economics; emerging markets,Demo multi-ranking template,Demo only; not official ranking redistribution.
Demo Chinese Finance Journal,demo chinese finance journal,demo chinese finance journal,,,,,,,,,,,,Yes,Yes,Tier CN-A,Chinese Core Example,Chinese journal; CSSCI demo,Demo multi-ranking template,Synthetic demo row for testing CSSCI/Chinese Core filters.
