journal,issn,ajg_rating,ajg_field,ajg_source_year,ft50,ft50_issn,ft50_title,ranking_source
Journal of Finance,0022-1082,4*,Finance,2024,Yes,0022-1082,Journal of Finance,Demo AJG/FT50 sample
Journal of Financial Economics,0304-405X,4*,Finance,2024,Yes,0304-405X,Journal of Financial Economics,Demo AJG/FT50 sample
Review of Financial Studies,0893-9454,4*,Finance,2024,Yes,0893-9454,Review of Financial Studies,Demo AJG/FT50 sample
Journal of Banking & Finance,0378-4266,3,Finance,2024,,,,Demo AJG sample
Journal of Futures Markets,0270-7314,3,Finance,2024,,,,Demo AJG sample
Quantitative Finance,1469-7688,3,Finance,2024,,,,Demo AJG sample
Finance Research Letters,1544-6123,2,Finance,2024,,,,Demo AJG sample
Accounting Review,0001-4826,4*,Accounting,2024,Yes,0001-4826,The Accounting Review,Demo AJG/FT50 sample
Journal of Accounting and Economics,0165-4101,4*,Accounting,2024,Yes,0165-4101,Journal of Accounting and Economics,Demo AJG/FT50 sample
Journal of Accounting Research,0021-8456,4*,Accounting,2024,Yes,0021-8456,Journal of Accounting Research,Demo AJG/FT50 sample
